,Y
130_S_2373.1,0.0500000000000007
130_S_2373.2,-1.78
130_S_2373.3,-2.56
003_S_2374,-1.72
029_S_2376,0.390000000000001
029_S_2376.1,-1.16
036_S_2378,-1.14
036_S_2378.1,-0.659999999999997
036_S_2378.2,-1.95
036_S_2378.3,-1.89
022_S_2379,-0.839999999999996
022_S_2379.1,-2.46
022_S_2379.2,-1.7
036_S_2380,-2.03
036_S_2380.1,-1.42
009_S_2381,-1.49
009_S_2381.1,-2.16
009_S_2381.2,-2.63
013_S_2389,0.869999999999997
013_S_2389.1,1.26
005_S_2390,-1.4
005_S_2390.1,-1.41
005_S_2390.2,-1.73
005_S_2390.3,-3.47
130_S_2391,-0.990000000000002
130_S_2391.1,-1.49
130_S_2391.2,-1.37
114_S_2392,0.170000000000002
114_S_2392.1,-0.449999999999996
114_S_2392.2,1.94
114_S_2392.3,-1.29
007_S_2394,-2.36
029_S_2395,-0.870000000000005
029_S_2395.1,-1.66
053_S_2396,-0.319999999999993
053_S_2396.1,0.150000000000006
053_S_2396.2,-0.469999999999999
053_S_2396.3,-0.219999999999999
057_S_2398,0.620000000000005
057_S_2398.1,-0.489999999999995
057_S_2398.2,-1.21
130_S_2403,-1.53
126_S_2405,1.55
126_S_2405.1,-1.12
126_S_2405.2,0.720000000000006
126_S_2407,0.390000000000001
126_S_2407.1,-0.109999999999999
126_S_2407.2,-1.14
037_S_4001,-0.869999999999997
098_S_4003,-0.300000000000004
098_S_4003.1,-0.640000000000001
041_S_4004,-0.640000000000001
041_S_4004.1,-1.93
041_S_4004.2,-2.54
041_S_4004.3,-2.53
031_S_4005,-0.140000000000001
031_S_4005.1,0.0500000000000043
031_S_4005.2,-1.14
072_S_4007,-0.379999999999995
072_S_4007.1,-0.519999999999996
072_S_4007.2,-2.57
016_S_4009,-0.559999999999999
016_S_4009.1,-0.609999999999999
016_S_4009.2,-0.27
012_S_4012,1.31
012_S_4012.1,1.26
041_S_4014,1.95
041_S_4014.1,-0.940000000000005
041_S_4014.2,0.489999999999995
037_S_4015,1.55
037_S_4015.1,-0.460000000000001
037_S_4015.2,-0.41
037_S_4015.3,0.0399999999999991
098_S_4018,1.65
098_S_4018.1,-1.35
098_S_4018.2,0.469999999999999
023_S_4020,-1.65
023_S_4020.1,-1.29
023_S_4020.2,-2.86
023_S_4020.3,-2.59999999999999
031_S_4021,2.32
031_S_4021.1,0.809999999999995
031_S_4021.2,0.419999999999995
031_S_4021.3,0.729999999999997
099_S_4022,0.190000000000001
099_S_4022.1,-0.140000000000001
031_S_4024,-1.67
031_S_4024.1,-2.71
012_S_4026,-2
012_S_4026.1,-0.980000000000004
012_S_4026.2,-1.23
037_S_4028,0.200000000000003
037_S_4028.1,-0.100000000000001
037_S_4028.2,-1.26
037_S_4028.3,-2.07
031_S_4029,2.2
031_S_4029.1,0.399999999999999
031_S_4029.2,0.259999999999998
037_S_4030,-1.66
037_S_4030.1,-0.890000000000004
037_S_4030.2,-2.74
037_S_4030.3,-5.04
031_S_4032,-0.510000000000005
031_S_4032.1,0.649999999999999
031_S_4032.2,-0.200000000000003
023_S_4034,0.899999999999999
023_S_4034.1,-0.27
023_S_4035,-0.400000000000006
023_S_4035.1,-2.07
023_S_4035.2,-0.219999999999999
941_S_4036,-0.899999999999999
941_S_4036.1,-0.380000000000003
941_S_4036.2,-1.15
041_S_4037,0.510000000000005
041_S_4037.1,1.88
041_S_4037.2,-1.52999999999999
041_S_4037.3,-2.33
014_S_4039,1.39
014_S_4039.1,-0.43
014_S_4039.2,-0.740000000000002
041_S_4041,-0.0199999999999996
041_S_4041.1,-0.529999999999998
041_S_4041.2,-1.17
041_S_4041.3,-2.29
031_S_4042,1.22000000000001
031_S_4042.1,0.540000000000006
031_S_4042.2,-0.139999999999993
116_S_4043,0.0599999999999952
116_S_4043.1,0.68
116_S_4043.2,0.68
116_S_4043.3,0.619999999999997
098_S_4050,-0.909999999999997
041_S_4051,3.24
041_S_4051.1,2.12
041_S_4051.2,1.31
041_S_4051.3,2.62
141_S_4053,-0.700000000000003
141_S_4053.1,-0.799999999999997
141_S_4053.2,0.549999999999997
067_S_4054,0.449999999999996
067_S_4054.1,0.849999999999994
067_S_4054.2,1.68
067_S_4054.3,0.659999999999997
072_S_4057,-0.120000000000005
072_S_4057.1,0.640000000000001
072_S_4057.2,-2.42
014_S_4058,-1.46
014_S_4058.1,-0.520000000000003
014_S_4058.2,-2.28
014_S_4058.3,-4.59
098_S_4059,1.09
098_S_4059.1,0.43
098_S_4059.2,-0.68
041_S_4060,1.55
041_S_4060.1,0.349999999999994
041_S_4060.2,-0.289999999999999
041_S_4060.3,-1.28
072_S_4063,-0.859999999999999
072_S_4063.1,-0.5
072_S_4063.2,-0.18
068_S_4067,0.0700000000000003
068_S_4067.1,0.649999999999999
037_S_4071,-1.02999999999999
037_S_4071.1,0.200000000000003
037_S_4071.2,-0.719999999999999
037_S_4071.3,0.0500000000000043
067_S_4072,-1.32
067_S_4072.1,-1.89
067_S_4072.2,0.960000000000001
067_S_4072.3,0.789999999999999
129_S_4073,-0.630000000000003
129_S_4073.1,-0.850000000000001
011_S_4075,-0.300000000000004
011_S_4075.1,-0.0200000000000031
011_S_4075.2,-0.0800000000000054
011_S_4075.3,-1.43
099_S_4076,0.279999999999994
099_S_4076.1,1.27999999999999
099_S_4076.2,-0.330000000000005
099_S_4076.3,1.22
153_S_4077,0.0700000000000003
153_S_4077.1,-1.34
153_S_4077.2,0.530000000000001
153_S_4077.3,-0.600000000000001
014_S_4079,0.140000000000001
014_S_4079.1,0.399999999999999
014_S_4079.2,-0.739999999999998
014_S_4079.3,0.989999999999998
014_S_4080,0.850000000000001
014_S_4080.1,0.239999999999995
014_S_4080.2,-0.280000000000001
035_S_4082,-0.160000000000004
035_S_4082.1,-0.57
035_S_4082.2,-0.730000000000004
024_S_4084,-0.170000000000002
024_S_4084.1,0.5
024_S_4084.2,-0.559999999999995
024_S_4084.3,-1.13
099_S_4086,-1.24
