method,idx,train,test
NN1,15,1.008,0.9719
NN1,8,1.007,0.9199
NN1,9,0.9613,1.157
NN1,14,1.002,0.9953
NN1,10,1.015,0.9328
NN1,7,0.9709,1.125
NN1,12,0.9864,1.031
NN1,13,1.015,0.9204
NN1,11,0.9591,0.9642
NN1,16,1.037,0.9358
NN1,17,1.015,0.9856
NN1,19,0.9861,1.058
NN1,21,1.066,0.779
NN1,6,1.02,0.9451
NN1,20,1.013,0.9995
NN1,24,1.019,0.9301
NN1,18,0.9941,0.8441
NN1,22,0.9493,1.025
NN1,23,1.036,0.8611
NN1,34,0.9975,1.014
NN1,35,0.9246,1.1
NN1,28,0.9692,1.157
NN1,27,0.9664,1.101
NN1,30,0.9485,1.173
NN1,25,1.054,0.7658
NN1,31,0.9846,1.067
NN1,29,1.004,1.003
NN1,26,0.9391,1.052
NN1,32,0.994,1.025
NN1,33,1.02,0.8799
NN1,37,1.019,0.9235
NN1,36,0.9376,1.059
NN1,38,0.9669,1.113
NN1,39,1.001,0.9461
NN1,50,1.029,0.8766
NN1,49,0.9677,1.139
NN1,58,1,0.9597
NN1,51,1.036,0.8529
NN1,47,0.9924,0.989
NN1,43,0.9674,1.093
NN1,46,0.9723,1.073
NN1,45,0.941,1.02
NN1,40,0.9578,0.9664
NN1,42,0.9571,0.9513
NN1,55,1.033,0.8556
NN1,48,0.9353,1.048
NN1,44,0.9112,1.118
NN1,52,0.9332,1.082
NN1,53,0.9668,1.139
NN1,56,1.019,0.9238
NN1,57,0.9213,1.285
NN1,67,1.037,0.9348
NN1,41,0.9217,1.109
NN1,59,1.04,0.8517
NN1,54,0.9255,1.076
NN1,62,1.014,0.951
NN1,66,0.9756,1.098
NN1,64,1.004,0.9884
NN1,69,1.005,1.018
NN1,63,0.9937,1.031
NN1,68,0.9198,1.114
NN1,75,0.9206,1.093
NN1,72,0.9554,1.177
NN1,60,0.9693,0.9019
NN1,73,0.9697,1.08
NN1,71,1.006,0.9407
NN1,70,1.029,0.8728
NN1,65,0.9799,1.037
NN1,61,1.001,0.9934
NN1,74,0.9328,1.062
NN1,81,0.9682,1.105
NN1,78,1.003,0.9837
NN1,82,0.9952,0.9803
