type,noise,method,index,train,test,mse1,mse2,cor1,cor2
matrix,1,FN1,87,0.1055,0.1267,0.1273,0.1663,0.9796,0.9759
matrix,1,FN1,45,0.09962,0.3335,0.1184,0.3331,0.9818,0.9345
matrix,1,FN1,67,0.07303,0.1437,0.1214,0.1734,0.9896,0.9818
matrix,1,FN1,81,0.07736,0.141,0.1275,0.2297,0.987,0.9763
matrix,1,FN1,80,0.03854,0.08642,0.1185,0.1408,0.9904,0.9802
matrix,1,FN1,58,0.09581,0.1166,0.1125,0.1633,0.9865,0.9826
matrix,1,FN1,57,0.06663,0.1118,0.1192,0.149,0.9878,0.9773
matrix,1,FN1,54,0.0372,0.05228,0.1804,0.3383,0.9944,0.9911
matrix,1,FN1,70,0.1326,0.1821,0.1277,0.16,0.978,0.9734
matrix,1,FN1,61,0.1597,0.1903,0.1178,0.1453,0.969,0.9607
matrix,1,FN1,83,0.1345,0.3035,0.1968,0.424,0.9873,0.974
matrix,1,FN1,51,0.08274,0.2784,0.09906,0.1267,0.9781,0.9471
matrix,1,FN1,84,0.1363,0.1314,0.1215,0.1473,0.9766,0.9765
matrix,1,FN1,92,0.1811,0.1947,0.1296,0.1645,0.9552,0.9486
matrix,1,FN1,78,0.02202,0.06005,0.1644,0.3024,0.9958,0.9859
matrix,1,FN1,72,0.1253,0.216,0.1449,0.2618,0.982,0.9666
matrix,1,FN1,60,0.07492,0.1919,0.1222,0.219,0.983,0.9598
matrix,1,FN1,63,0.11,0.3566,0.1179,0.31,0.9894,0.9688
matrix,1,FN1,73,0.06729,0.1232,0.1233,0.2686,0.987,0.9685
matrix,1,FN1,66,0.0757,0.1332,0.1136,0.2144,0.9883,0.9799
matrix,1,FN1,85,0.1005,0.22,0.1155,0.2669,0.9855,0.9642
matrix,1,FN1,76,0.04324,0.0602,0.1165,0.1757,0.987,0.981
matrix,1,FN1,43,0.1209,0.1294,0.1163,0.1689,0.98,0.9778
matrix,1,FN1,46,0.09692,0.2519,0.1216,0.3034,0.988,0.9661
matrix,1,FN1,74,0.1271,0.3204,0.15,0.3118,0.9858,0.9656
matrix,1,FN1,99,0.09352,0.1074,0.109,0.1538,0.9852,0.9822
matrix,1,FN1,44,0.05118,0.1046,0.1156,0.2099,0.9949,0.9907
matrix,1,FN1,50,0.0461,0.1411,0.2069,0.5607,0.9945,0.9861
matrix,1,FN1,69,0.04205,0.07194,0.1572,0.2975,0.9916,0.9822
matrix,1,FN1,49,0.09293,0.3231,0.1312,0.2957,0.9916,0.9763
matrix,1,FN1,93,0.03693,0.09292,0.1324,0.3067,0.994,0.9859
matrix,1,FN1,95,0.08402,0.1234,0.151,0.3051,0.9811,0.9672
matrix,1,FN1,96,0.07721,0.1573,0.1143,0.1683,0.9875,0.9759
matrix,1,FN1,97,0.09863,0.1967,0.1386,0.2738,0.9877,0.9735
matrix,1,FN1,94,0.1594,0.2352,0.1352,0.177,0.9737,0.9594
matrix,1,FN1,100,0.08879,0.1498,0.1385,0.2657,0.9803,0.9713
matrix,1,FN1,98,0.05079,0.2085,0.1147,0.3275,0.992,0.9735
matrix,1,NN1,2,0.04141,0.2067,0.0743,0.3797,0.9946,0.9748
matrix,1,NN1,5,0.03759,0.2326,0.07534,0.2753,0.9952,0.9786
matrix,1,NN1,1,0.01936,0.06507,0.08058,0.2519,0.9963,0.9882
matrix,1,NN1,19,0.1019,0.2653,0.06641,0.1463,0.9814,0.945
matrix,1,NN1,8,0.2116,0.2689,0.1291,0.161,0.9588,0.9486
matrix,1,NN1,10,0.02207,0.05485,0.06739,0.1649,0.9922,0.9796
matrix,1,NN1,4,0.04804,0.1139,0.06983,0.127,0.9873,0.9728
matrix,1,NN1,13,0.04344,0.07504,0.1792,0.2298,0.9906,0.9841
matrix,1,NN1,17,0.0539,0.1079,0.06813,0.1501,0.9846,0.9693
matrix,1,NN1,15,0.04318,0.0822,0.08137,0.1689,0.9947,0.9888
matrix,1,NN1,18,0.0455,0.1819,0.0725,0.3619,0.9945,0.9756
matrix,1,NN1,16,0.06923,0.2177,0.07479,0.2006,0.9909,0.9742
matrix,1,NN1,12,0.08376,0.1339,0.06851,0.1406,0.9916,0.9849
matrix,1,NN1,6,0.03967,0.1384,0.07038,0.2092,0.9909,0.9674
matrix,1,NN1,9,0.02819,0.1163,0.07328,0.3788,0.9941,0.9761
matrix,1,NN1,11,0.02137,0.04404,0.09126,0.2119,0.9975,0.9943
matrix,1,NN1,7,0.01868,0.02853,0.1079,0.2116,0.999,0.9983
matrix,1,NN1,14,0.007345,0.02621,0.07677,0.278,0.9977,0.9924
matrix,1,NN1,3,0.09165,0.1773,0.06548,0.1614,0.9771,0.9572
matrix,1,NN1,27,0.08646,0.1832,0.06593,0.1601,0.9843,0.9655
matrix,1,NN1,58,0.06111,0.1306,0.07176,0.183,0.9912,0.9805
matrix,1,NN1,63,0.06888,0.3055,0.07379,0.2656,0.993,0.9719
matrix,1,NN1,23,0.05822,0.1337,0.07631,0.1922,0.9933,0.9836
matrix,1,NN1,66,0.04944,0.1134,0.07422,0.1825,0.9926,0.9823
matrix,1,NN1,41,0.08211,0.2271,0.07431,0.1925,0.9897,0.9709
matrix,1,NN1,47,0.06636,0.2316,0.06906,0.1813,0.9861,0.9534
matrix,1,NN1,68,0.0431,0.1077,0.07103,0.21,0.9925,0.98
matrix,1,NN1,28,0.07982,0.2024,0.06721,0.1833,0.9837,0.9581
matrix,1,NN1,60,0.08308,0.1972,0.1355,0.2249,0.9803,0.9581
matrix,1,NN1,21,0.04951,0.1612,0.07322,0.2265,0.9942,0.9808
matrix,1,NN1,37,0.05159,0.173,0.0738,0.1743,0.9896,0.9711
matrix,1,NN1,59,0.08157,0.187,0.06705,0.1414,0.9813,0.9579
matrix,1,NN1,51,0.05689,0.2796,0.06811,0.1273,0.985,0.9466
matrix,1,NN1,24,0.04751,0.1844,0.07158,0.252,0.9927,0.9731
matrix,1,NN1,26,0.03665,0.147,0.07828,0.3095,0.9953,0.9806
matrix,1,NN1,33,0.04555,0.1383,0.06534,0.1297,0.9908,0.9738
matrix,1,NN1,64,0.06046,0.2117,0.06998,0.1995,0.9898,0.9698
matrix,1,NN1,36,0.08705,0.1917,0.068,0.1278,0.9788,0.9541
matrix,1,NN1,52,0.03435,0.1434,0.07607,0.2873,0.9946,0.9756
matrix,1,NN1,57,0.04173,0.1459,0.07466,0.1945,0.9923,0.9698
matrix,1,NN1,29,0.04689,0.1048,0.07167,0.2192,0.9936,0.985
matrix,1,NN1,30,0.02606,0.09455,0.07449,0.2169,0.9947,0.981
matrix,1,NN1,34,0.05345,0.1281,0.0669,0.1994,0.9875,0.9682
matrix,1,NN1,35,0.08318,0.2046,0.06672,0.1462,0.9765,0.9321
matrix,1,NN1,42,0.06044,0.1524,0.06745,0.2072,0.9885,0.9701
matrix,1,NN1,62,0.06733,0.1147,0.06771,0.1827,0.9826,0.9675
matrix,1,NN1,20,0.09008,0.2123,0.07198,0.1922,0.9878,0.9698
matrix,1,NN1,49,0.06373,0.3692,0.08999,0.3379,0.9946,0.9728
matrix,1,NN1,25,0.02772,0.1491,0.07561,0.3562,0.9947,0.9712
matrix,1,NN1,39,0.07289,0.1504,0.0707,0.1672,0.9881,0.9748
matrix,1,NN1,22,0.08002,0.1463,0.1508,0.1952,0.9813,0.9657
matrix,1,NN1,53,0.07816,0.1972,0.06964,0.1532,0.9821,0.953
matrix,1,NN1,85,0.0613,0.2343,0.07046,0.2843,0.9908,0.9616
matrix,1,NN1,50,0.02172,0.1764,0.09746,0.7011,0.9974,0.9825
matrix,1,NN1,38,0.02783,0.08519,0.07264,0.2813,0.9948,0.9832
matrix,1,NN1,67,0.04832,0.1576,0.08035,0.1902,0.9931,0.98
matrix,1,NN1,54,0.01868,0.05365,0.0906,0.3471,0.9971,0.9907
matrix,1,NN1,44,0.03297,0.09497,0.07448,0.1906,0.9967,0.9913
matrix,1,NN1,32,0.0559,0.1162,0.07398,0.1513,0.9949,0.9894
matrix,1,NN1,45,0.06187,0.2977,0.07356,0.2974,0.9884,0.9413
matrix,1,NN1,46,0.05678,0.2643,0.07121,0.3183,0.9923,0.962
matrix,1,NN1,31,0.03185,0.04843,0.06955,0.1165,0.9911,0.987
matrix,1,NN1,74,0.0648,0.3184,0.07645,0.3098,0.9929,0.9648
matrix,1,NN1,99,0.0618,0.1019,0.07204,0.146,0.9904,0.9832
matrix,1,NN1,98,0.07015,0.2277,0.1584,0.3577,0.989,0.9749
matrix,1,NN1,40,0.01549,0.09849,0.08481,0.5024,0.9971,0.9823
matrix,1,NN1,91,0.05542,0.1602,0.06932,0.2161,0.9883,0.9664
matrix,1,NN1,69,0.02132,0.07231,0.0797,0.299,0.9954,0.9812
matrix,1,NN1,71,0.06272,0.1768,0.06994,0.2135,0.9842,0.9489
matrix,1,NN1,96,0.04658,0.1565,0.06899,0.1674,0.992,0.9753
matrix,1,NN1,89,0.05282,0.1737,0.06892,0.2347,0.9917,0.9716
matrix,1,NN1,56,0.03911,0.1204,0.06855,0.1383,0.9898,0.964
matrix,1,NN1,86,0.1519,0.2534,0.06574,0.1139,0.9447,0.907
matrix,1,NN1,48,0.04301,0.08023,0.07246,0.1409,0.9929,0.9854
matrix,1,NN1,92,0.09138,0.1877,0.0654,0.1585,0.9773,0.9498
matrix,1,NN1,93,0.02197,0.09911,0.07876,0.3271,0.9964,0.9853
matrix,1,NN1,55,0.07008,0.09457,0.06409,0.122,0.9806,0.9711
matrix,1,NN1,83,0.0532,0.2691,0.07785,0.3759,0.9952,0.9764
matrix,1,NN1,100,0.04414,0.1299,0.06886,0.2304,0.9898,0.9712
matrix,1,NN1,87,0.05835,0.1212,0.0704,0.159,0.9879,0.9763
matrix,1,NN1,80,0.02363,0.1209,0.07262,0.197,0.9938,0.9738
matrix,1,NN1,95,0.04138,0.1199,0.0744,0.2965,0.9901,0.9679
matrix,1,NN1,70,0.07228,0.2332,0.06961,0.205,0.9877,0.9664
matrix,1,NN1,43,0.07119,0.1317,0.06849,0.1719,0.9886,0.9777
matrix,1,NN1,84,0.07699,0.1697,0.06862,0.1902,0.9858,0.9677
matrix,1,NN1,73,0.0385,0.1306,0.07058,0.2847,0.9923,0.967
matrix,1,NN1,72,0.0627,0.161,0.07253,0.1952,0.9905,0.9738
matrix,1,NN1,79,0.02941,0.09053,0.06541,0.2479,0.9904,0.9683
matrix,1,NN1,78,0.01126,0.06409,0.08401,0.3228,0.9979,0.9859
matrix,1,NN1,75,0.07598,0.09602,0.1095,0.1551,0.9807,0.9776
matrix,1,NN1,77,0.06895,0.2114,0.06435,0.232,0.9852,0.9551
matrix,1,NN1,81,0.04195,0.139,0.06915,0.2264,0.9927,0.9759
matrix,1,NN1,97,0.05351,0.1915,0.07517,0.2664,0.9935,0.9746
matrix,1,NN1,94,0.08055,0.2127,0.06834,0.1601,0.9868,0.9635
matrix,1,NN1,82,0.027,0.1006,0.08727,0.3484,0.997,0.9883
matrix,1,NN1,88,0.03478,0.1414,0.07104,0.363,0.9934,0.971
matrix,1,NN1,90,0.03849,0.06898,0.06885,0.1202,0.9907,0.9827
matrix,1,NN1,61,0.08754,0.1928,0.06458,0.1472,0.983,0.961
matrix,1,NN1,76,0.05292,0.06454,0.1426,0.1883,0.9857,0.98
matrix,1,NN1,65,0.05828,0.09238,0.06455,0.1159,0.9809,0.9693
matrix,2,FLM1,6,0.3434,0.399,0.7007,0.7123,0.9092,0.8936
matrix,2,FLM1,7,0.5654,0.5033,3.419,3.878,0.9654,0.9691
matrix,2,FLM1,5,0.4606,0.6723,1.05,0.9837,0.9323,0.9209
matrix,2,FLM1,4,0.3534,0.4672,0.6083,0.6463,0.8937,0.8702
matrix,2,FLM1,1,0.3848,0.4612,1.705,1.909,0.9213,0.9099
matrix,2,FLM1,3,0.4788,0.4765,0.4702,0.5623,0.8511,0.8621
matrix,2,FLM1,2,0.4739,0.5479,0.9786,1.155,0.9283,0.9221
matrix,2,FLM1,8,0.5529,0.6306,0.487,0.5475,0.8588,0.8381
matrix,2,FLM1,10,0.2818,0.2642,0.9378,0.8689,0.892,0.8942
matrix,2,FLM1,11,0.5178,0.4981,2.355,2.534,0.9307,0.9267
matrix,2,FLM1,12,0.6151,0.5779,0.6675,0.7621,0.9188,0.9191
matrix,2,FLM1,9,0.2416,0.2359,0.6936,0.8316,0.9453,0.9451
matrix,2,FLM1,15,0.4134,0.48,0.8897,1.115,0.9403,0.9261
matrix,2,FLM1,13,0.2344,0.2997,1.029,0.9995,0.9403,0.933
matrix,2,FLM1,18,0.492,0.4477,0.9192,1.01,0.9275,0.9308
matrix,2,FLM1,19,0.5608,0.6656,0.5151,0.5494,0.8644,0.8175
matrix,2,FLM1,16,0.5461,0.5762,0.7389,0.6889,0.9064,0.9157
matrix,2,FLM1,17,0.3516,0.3427,0.5398,0.5693,0.8852,0.8888
matrix,2,FLM1,14,0.2052,0.2217,2.201,2.416,0.9335,0.9332
matrix,2,FLM1,34,0.4184,0.3902,0.6365,0.712,0.8861,0.8885
matrix,2,FLM1,20,0.5111,0.5155,0.5465,0.6065,0.91,0.9066
matrix,2,FLM1,36,0.5059,0.5961,0.5311,0.5583,0.8466,0.8147
matrix,2,FLM1,26,0.4398,0.4535,1.06,1.077,0.9347,0.9319
matrix,2,FLM1,30,0.4548,0.5451,1.424,1.399,0.8966,0.8753
matrix,2,FLM1,21,0.4517,0.5884,0.7906,0.985,0.9363,0.9173
matrix,2,FLM1,41,0.5641,0.6389,0.6588,0.7143,0.9052,0.8948
matrix,2,FLM1,32,0.5636,0.6973,0.8968,1.095,0.9379,0.9231
matrix,2,FLM1,28,0.5418,0.5391,0.601,0.6354,0.8584,0.8618
matrix,2,FLM1,27,0.4396,0.4488,0.4531,0.5138,0.898,0.8954
matrix,2,FLM1,43,0.4808,0.4516,0.592,0.7103,0.9026,0.9101
matrix,2,FLM1,39,0.5765,0.6015,0.7146,0.8356,0.8828,0.8768
matrix,2,FLM1,38,0.3391,0.3407,0.9745,1.218,0.9276,0.9262
matrix,2,FLM1,44,0.5571,0.6544,1.409,1.488,0.9373,0.9309
matrix,2,FLM1,33,0.4363,0.6286,0.7425,0.7603,0.8982,0.8573
matrix,2,FLM1,24,0.4652,0.5169,0.8287,0.8443,0.9155,0.912
matrix,2,FLM1,23,0.5718,0.5651,0.9026,0.97,0.9192,0.9157
matrix,2,FLM1,37,0.4663,0.6041,0.7907,0.7739,0.8879,0.8814
matrix,2,FLM1,31,0.3432,0.3448,0.842,0.9234,0.8924,0.8981
matrix,2,FLM1,35,0.41,0.4654,0.4392,0.4563,0.8617,0.8133
matrix,2,FLM1,40,0.2692,0.2968,1.546,1.598,0.9451,0.9427
matrix,2,FLM1,25,0.4119,0.4544,1.234,1.215,0.9125,0.9008
matrix,2,FLM1,29,0.4863,0.4253,0.8709,1.006,0.9217,0.9328
matrix,2,FLM1,22,0.317,0.3743,0.6814,0.599,0.9172,0.901
matrix,2,FLM1,42,0.4799,0.5184,0.6647,0.8498,0.8904,0.8811
matrix,2,FLM1,55,0.4206,0.3768,0.4979,0.5886,0.861,0.8723
matrix,2,FLM1,54,0.4407,0.4745,2.256,3.205,0.922,0.9098
matrix,2,FLM1,49,0.6598,0.7776,1.112,0.9198,0.9273,0.9318
matrix,2,FLM1,59,0.4215,0.4905,0.4607,0.5042,0.8792,0.8604
matrix,2,FLM1,57,0.6235,0.6613,1.283,1.062,0.8639,0.8384
matrix,2,FLM1,56,0.2789,0.4919,0.5643,0.6949,0.919,0.834
matrix,2,FLM1,94,0.5914,0.6781,0.6592,0.6935,0.8774,0.8516
matrix,2,FLM1,58,0.5094,0.5193,0.7355,0.8689,0.9119,0.9096
matrix,2,FLM1,85,0.441,0.4623,0.6261,0.6831,0.9192,0.9078
matrix,2,FLM1,60,0.3531,0.43,0.6714,0.6115,0.9056,0.8958
matrix,2,FLM1,61,0.5113,0.5238,0.5146,0.5426,0.8747,0.8637
matrix,2,FLM1,50,0.3173,0.4097,1.509,1.731,0.9591,0.9564
matrix,2,FLM1,79,0.352,0.2994,0.8761,0.9004,0.8728,0.8874
matrix,2,FLM1,45,0.4829,0.9097,0.7047,1.152,0.8888,0.78
matrix,2,FLM1,76,0.269,0.2477,0.7981,0.7914,0.9119,0.916
matrix,2,FLM1,88,0.3277,0.3184,0.758,0.9053,0.9296,0.9288
matrix,2,FLM1,51,0.4877,0.9063,0.7143,0.6599,0.8483,0.7665
matrix,2,FLM1,73,0.3579,0.3961,0.7543,0.9714,0.9195,0.8874
matrix,2,FLM1,47,0.4677,0.5902,0.613,0.6256,0.8801,0.8536
matrix,2,FLM1,70,0.4455,0.5375,0.5481,0.6191,0.9078,0.901
matrix,2,FLM1,46,0.4581,0.5026,0.6986,0.7455,0.9237,0.9107
matrix,2,FLM1,52,0.5142,0.589,1.278,1.34,0.9082,0.8852
matrix,2,FLM1,84,0.567,0.5988,0.6571,0.8289,0.869,0.8623
matrix,2,FLM1,64,0.364,0.4657,0.5199,0.5645,0.9259,0.9188
matrix,2,FLM1,82,0.5152,0.5022,1.805,1.875,0.9367,0.936
matrix,2,FLM1,91,0.4427,0.4441,0.6738,0.7197,0.8905,0.8902
matrix,2,FLM1,92,0.494,0.4853,0.4883,0.5422,0.8471,0.8435
matrix,2,FLM1,67,0.4762,0.6244,0.9208,0.9279,0.9209,0.9073
matrix,2,FLM1,93,0.397,0.4801,1.53,1.717,0.9272,0.9203
matrix,2,FLM1,53,0.4233,0.5161,0.4925,0.5386,0.882,0.8486
matrix,2,FLM1,63,0.517,0.6528,0.6928,0.7459,0.9342,0.9239
matrix,2,FLM1,69,0.3017,0.3408,1.209,1.502,0.9243,0.9036
matrix,2,FLM1,77,0.4649,0.4756,0.5594,0.6501,0.878,0.8805
matrix,2,FLM1,75,0.3551,0.3593,0.6073,0.6814,0.8901,0.8985
matrix,2,FLM1,72,0.6188,0.6367,0.8841,0.9446,0.8843,0.8764
matrix,2,FLM1,66,0.4885,0.4867,0.8629,0.9167,0.912,0.9128
matrix,2,FLM1,87,0.3482,0.3788,0.512,0.5987,0.9129,0.9104
matrix,2,FLM1,81,0.3026,0.3382,0.5825,0.6421,0.9397,0.9337
matrix,2,FLM1,90,0.3014,0.3563,0.6196,0.7176,0.9174,0.9
matrix,2,FLM1,78,0.2518,0.2999,1.946,1.59,0.9487,0.9295
matrix,2,FLM1,68,0.4124,0.3876,0.7907,0.8629,0.9171,0.9187
matrix,2,FLM1,80,0.2992,0.4414,0.9985,0.8387,0.9141,0.8921
matrix,2,FLM1,62,0.4291,0.3722,0.5485,0.6959,0.8682,0.8858
matrix,2,FLM1,86,0.5953,0.6076,0.4153,0.4399,0.7231,0.7164
matrix,2,FLM1,48,0.4294,0.5035,0.8388,1.021,0.9186,0.8945
matrix,2,FLM1,89,0.447,0.5085,0.7037,0.8273,0.9142,0.9027
matrix,2,FLM1,83,0.5082,0.5714,0.8788,0.9547,0.9439,0.9423
matrix,2,FLM1,71,0.3609,0.4113,0.4988,0.6108,0.8932,0.859
matrix,2,FLM1,74,0.5738,0.7294,0.8306,0.9008,0.9201,0.8997
matrix,2,FLM1,65,0.4673,0.4469,0.6431,0.6794,0.8213,0.8301
matrix,2,FLM1,95,0.3462,0.325,0.7143,0.8911,0.9016,0.9043
matrix,2,FLM1,96,0.4913,0.6311,0.8605,0.8484,0.9004,0.8781
matrix,2,FLM1,100,0.4014,0.4452,0.7334,0.9116,0.8913,0.8896
matrix,2,FLM1,98,0.437,0.4958,1.105,0.9156,0.9183,0.923
matrix,2,FLM1,99,0.5816,0.6323,0.833,1.078,0.8886,0.8763
matrix,2,FLM1,97,0.4498,0.4994,0.753,0.8344,0.9319,0.9203
matrix,2,FN1,18,0.1979,0.2685,0.3698,0.6056,0.9723,0.9599
matrix,2,FN1,9,0.1348,0.188,0.3869,0.6627,0.9707,0.9583
matrix,2,FN1,11,0.09259,0.1121,0.4211,0.5704,0.9882,0.9841
matrix,2,FN1,4,0.2087,0.3232,0.3592,0.4471,0.9387,0.9116
matrix,2,FN1,13,0.08968,0.152,0.3936,0.507,0.9777,0.9661
matrix,2,FN1,6,0.1917,0.2788,0.3911,0.4977,0.9519,0.9283
matrix,2,FN1,17,0.2404,0.2422,0.369,0.4023,0.9236,0.9232
matrix,2,FN1,14,0.03762,0.04726,0.4037,0.5148,0.9884,0.9863
matrix,2,FN1,10,0.1116,0.1309,0.3715,0.4306,0.9595,0.9497
matrix,2,FN1,8,0.41,0.5154,0.3612,0.4474,0.9019,0.8764
matrix,2,FN1,3,0.3911,0.3778,0.3841,0.4458,0.884,0.8959
matrix,2,FN1,1,0.1061,0.1488,0.4703,0.6162,0.9806,0.9726
matrix,2,FN1,16,0.2505,0.4385,0.3389,0.5242,0.9587,0.938
matrix,2,FN1,33,0.2267,0.3625,0.3857,0.4385,0.9489,0.9174
matrix,2,FN1,7,0.07763,0.0717,0.4693,0.5524,0.9956,0.9955
matrix,2,FN1,15,0.1798,0.225,0.387,0.5227,0.975,0.9667
matrix,2,FN1,5,0.1621,0.397,0.3694,0.5809,0.9773,0.9557
matrix,2,FN1,19,0.375,0.5305,0.3444,0.4379,0.9117,0.8567
matrix,2,FN1,12,0.3217,0.3499,0.3491,0.4614,0.9595,0.9523
matrix,2,FN1,71,0.2689,0.314,0.3716,0.4663,0.9236,0.8953
matrix,2,FN1,2,0.2075,0.3245,0.4285,0.6844,0.9694,0.9544
matrix,2,FN1,79,0.1516,0.1452,0.3774,0.4368,0.9477,0.9465
matrix,2,FN1,86,0.5567,0.5588,0.3884,0.4046,0.7518,0.7505
matrix,2,FN1,82,0.1344,0.1685,0.4709,0.6289,0.9841,0.9791
matrix,2,FN1,68,0.184,0.2416,0.3527,0.5379,0.9641,0.95
matrix,2,FN1,62,0.3079,0.2622,0.3936,0.4904,0.9075,0.919
matrix,2,FN1,99,0.2409,0.2717,0.345,0.4631,0.9562,0.9497
matrix,2,FN1,39,0.2887,0.3717,0.3578,0.5164,0.9432,0.9268
matrix,2,FN1,87,0.2613,0.2839,0.3843,0.4486,0.9386,0.9376
matrix,2,FN1,75,0.2158,0.2193,0.369,0.416,0.9349,0.9388
matrix,2,FN1,56,0.1788,0.29,0.3617,0.4097,0.9492,0.9037
matrix,2,FN1,30,0.1201,0.2044,0.3759,0.5246,0.9738,0.9548
matrix,2,FN1,76,0.122,0.1485,0.3619,0.4744,0.9617,0.9511
matrix,2,FN1,34,0.2462,0.2664,0.3745,0.4861,0.9347,0.926
matrix,2,FN1,93,0.09683,0.1573,0.3732,0.5623,0.9828,0.9747
matrix,2,FN1,72,0.2451,0.3562,0.3502,0.5285,0.9564,0.9329
matrix,2,FN1,21,0.2025,0.3623,0.3544,0.6065,0.9723,0.9513
matrix,2,FN1,94,0.3495,0.442,0.3896,0.452,0.9319,0.9079
matrix,2,FN1,60,0.2026,0.3803,0.3851,0.5409,0.947,0.9047
matrix,2,FN1,100,0.2134,0.2733,0.3899,0.5596,0.9455,0.9385
matrix,2,FN1,90,0.1797,0.2042,0.3695,0.4114,0.9517,0.944
matrix,2,FN1,42,0.271,0.2844,0.3753,0.4661,0.9405,0.9372
matrix,2,FN1,53,0.3187,0.4078,0.3708,0.4256,0.9132,0.8825
matrix,2,FN1,91,0.2393,0.295,0.3642,0.4781,0.9432,0.9292
matrix,2,FN1,65,0.2629,0.2618,0.3618,0.398,0.9039,0.9041
matrix,2,FN1,89,0.2933,0.368,0.4618,0.5986,0.9452,0.9318
matrix,2,FN1,88,0.1663,0.1901,0.3846,0.5405,0.9651,0.958
matrix,2,FN1,40,0.06867,0.1348,0.3943,0.7256,0.9863,0.9744
matrix,2,FN1,24,0.2113,0.3328,0.3764,0.5436,0.9638,0.9452
matrix,2,FN1,59,0.3345,0.4128,0.3657,0.4243,0.9072,0.8866
matrix,2,FN1,95,0.1907,0.2261,0.3935,0.6199,0.9476,0.9327
matrix,2,FN1,78,0.05457,0.1171,0.4218,0.6208,0.9893,0.9724
matrix,2,FN1,83,0.2547,0.3939,0.4405,0.6581,0.9726,0.9597
matrix,2,FN1,35,0.3521,0.4179,0.3772,0.4098,0.8828,0.8344
matrix,2,FN1,96,0.2073,0.3393,0.3631,0.4561,0.9594,0.9359
matrix,2,FN1,48,0.2009,0.2256,0.3925,0.4574,0.9635,0.9552
matrix,2,FN1,25,0.1299,0.2528,0.3891,0.6759,0.9735,0.9469
matrix,2,FN1,77,0.3242,0.3789,0.3901,0.5179,0.9167,0.9056
matrix,2,FN1,22,0.1824,0.2919,0.3921,0.4672,0.9542,0.9242
matrix,2,FN1,92,0.3869,0.386,0.3824,0.4312,0.8828,0.8782
matrix,2,FN1,45,0.2452,0.4659,0.3579,0.59,0.9456,0.892
matrix,2,FN1,31,0.1491,0.1522,0.3658,0.4077,0.9549,0.9563
matrix,2,FN1,97,0.2875,0.3648,0.4813,0.6096,0.9603,0.9446
matrix,2,FN1,74,0.2699,0.4806,0.3908,0.5935,0.9635,0.9363
matrix,2,FN1,41,0.2994,0.4343,0.3497,0.4855,0.951,0.93
matrix,2,FN1,38,0.1569,0.1859,0.451,0.6641,0.9681,0.9614
matrix,2,FN1,66,0.2105,0.2602,0.3719,0.4901,0.9639,0.9543
matrix,2,FN1,84,0.3201,0.3096,0.371,0.4286,0.9304,0.9332
matrix,2,FN1,73,0.1789,0.2229,0.3769,0.5466,0.9607,0.9385
matrix,2,FN1,81,0.1963,0.2857,0.3778,0.5425,0.9615,0.9444
matrix,2,FN1,26,0.1798,0.2441,0.4331,0.5796,0.9745,0.9647
matrix,2,FN1,51,0.2487,0.582,0.3642,0.4238,0.9263,0.8505
matrix,2,FN1,36,0.34,0.4361,0.3569,0.4085,0.9008,0.8683
matrix,2,FN1,47,0.2966,0.4475,0.3888,0.4743,0.9284,0.892
matrix,2,FN1,57,0.1686,0.2727,0.347,0.4379,0.9654,0.9367
matrix,2,FN1,80,0.1085,0.2243,0.3622,0.4263,0.9701,0.9417
matrix,2,FN1,85,0.2684,0.3542,0.381,0.5233,0.9528,0.9321
matrix,2,FN1,27,0.3413,0.4068,0.3517,0.4658,0.923,0.9079
matrix,2,FN1,29,0.2039,0.2194,0.3653,0.5189,0.968,0.9655
matrix,2,FN1,69,0.1006,0.1391,0.4033,0.6133,0.9763,0.9629
matrix,2,FN1,44,0.1517,0.2307,0.3838,0.5245,0.9834,0.9769
matrix,2,FN1,54,0.07801,0.08933,0.3993,0.6033,0.9867,0.9834
matrix,2,FN1,70,0.3122,0.3941,0.3841,0.4539,0.9369,0.928
matrix,2,FN1,20,0.3516,0.4164,0.376,0.4899,0.941,0.929
matrix,2,FN1,50,0.1022,0.2045,0.4859,0.8637,0.9871,0.9787
matrix,2,FN1,98,0.137,0.3521,0.3462,0.6502,0.976,0.9476
matrix,2,FN1,63,0.2899,0.5061,0.3885,0.5783,0.9651,0.9425
matrix,2,FN1,37,0.2231,0.3675,0.3783,0.4708,0.9496,0.9287
matrix,2,FN1,28,0.3241,0.397,0.3595,0.4679,0.9179,0.9005
matrix,2,FN1,32,0.2424,0.2737,0.3858,0.4299,0.9744,0.9709
matrix,2,FN1,52,0.1399,0.248,0.3476,0.5644,0.9761,0.9517
matrix,2,FN1,49,0.2121,0.4904,0.3575,0.5801,0.9774,0.9552
matrix,2,FN1,23,0.2242,0.2836,0.354,0.4867,0.9692,0.9588
matrix,2,FN1,55,0.3413,0.2843,0.4041,0.4441,0.8902,0.9037
matrix,2,FN1,46,0.2503,0.3873,0.3817,0.5744,0.9593,0.9343
matrix,2,FN1,61,0.3887,0.4079,0.3912,0.4226,0.9064,0.8956
matrix,2,FN1,67,0.189,0.3183,0.3654,0.473,0.9702,0.9533
matrix,2,FN1,64,0.267,0.4325,0.3813,0.5243,0.9466,0.9243
